City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Sierra Vista,US,31.5545,-110.3037,48.2,18,1,10.36,clear sky
1,Ilulissat,GL,69.2167,-51.1,8.6,56,40,23.02,light snow
2,Wajima,JP,37.4,136.9,26.6,100,90,2.3,snow
3,Salalah,OM,17.0151,54.0924,77.94,27,0,9.53,clear sky
4,Nikolskoye,RU,59.7035,30.7861,12.0,85,0,4.47,clear sky
5,Buchanan,LR,5.8808,-10.0467,77.0,94,75,2.44,mist
6,Taltal,CL,-25.4,-70.4833,63.21,78,39,1.74,scattered clouds
7,Kousseri,CM,12.0769,15.0306,75.2,23,29,12.66,scattered clouds
8,Hithadhoo,MV,-0.6,73.0833,81.72,74,32,10.09,scattered clouds
9,Rikitea,PF,-23.1203,-134.9692,78.15,76,100,7.34,light rain
10,Thinadhoo,MV,0.5333,72.9333,81.7,76,85,9.89,overcast clouds
11,Namibe,AO,-15.1961,12.1522,71.65,73,100,1.68,overcast clouds
12,Busselton,AU,-33.65,115.3333,102.99,21,7,7.0,clear sky
13,Hobart,AU,-42.8794,147.3294,72.0,63,75,14.97,broken clouds
14,Maniitsoq,GL,65.4167,-52.9,22.93,81,100,10.45,overcast clouds
15,Yulara,AU,-25.2406,130.9889,98.6,12,40,12.66,scattered clouds
16,Upernavik,GL,72.7868,-56.1549,10.02,75,100,7.45,overcast clouds
17,Vaini,TO,-21.2,-175.2,78.8,94,40,3.44,scattered clouds
18,Bluff,NZ,-46.6,168.3333,55.99,78,100,10.0,overcast clouds
19,Yar-Sale,RU,66.8333,70.8333,-4.59,92,81,10.6,broken clouds
20,Hermanus,ZA,-34.4187,19.2345,75.0,70,30,8.99,scattered clouds
21,Butaritari,KI,3.0707,172.7902,81.75,80,94,24.18,light rain
22,Vila Franca Do Campo,PT,37.7167,-25.4333,48.2,81,20,5.75,few clouds
23,Castro,BR,-24.7911,-50.0119,64.08,96,96,6.78,overcast clouds
24,Georgetown,MY,5.4112,100.3354,87.8,55,40,16.11,scattered clouds
25,Saravan,AM,39.7196,45.6483,19.4,93,90,4.61,mist
26,Ushuaia,AR,-54.8,-68.3,53.6,50,40,10.36,scattered clouds
27,Atuona,PF,-9.8,-139.0333,77.43,72,0,18.5,clear sky
28,Margate,GB,51.3813,1.3862,37.99,90,44,1.99,scattered clouds
29,Flinders,AU,-34.5833,150.8552,73.0,61,0,7.0,clear sky
30,La Ronge,CA,55.1001,-105.2842,3.2,85,37,2.3,scattered clouds
31,Mahebourg,MU,-20.4081,57.7,84.2,74,40,10.36,scattered clouds
32,Laguna,US,38.421,-121.4238,45.0,87,1,4.61,mist
33,Hun,LY,29.1268,15.9477,72.37,22,0,5.79,clear sky
34,Samarai,PG,-10.6167,150.6667,85.19,76,99,8.63,moderate rain
35,Krasnyy Chikoy,RU,50.3643,108.7512,6.57,88,9,6.13,clear sky
36,Naliya,IN,23.2667,68.8333,75.09,23,0,21.43,clear sky
37,Bambous Virieux,MU,-20.3428,57.7575,84.99,74,40,10.36,scattered clouds
38,Bandarbeyla,SO,9.4942,50.8122,77.23,60,29,26.08,scattered clouds
39,Jamestown,US,42.097,-79.2353,21.0,93,1,6.91,clear sky
40,Punta Arenas,CL,-53.15,-70.9167,46.4,71,75,14.97,broken clouds
41,Bredasdorp,ZA,-34.5322,20.0403,77.0,61,88,2.3,overcast clouds
42,Maragogi,BR,-9.0122,-35.2225,76.33,82,24,7.94,few clouds
43,Albany,US,42.6001,-73.9662,18.0,72,7,5.53,clear sky
44,New Norfolk,AU,-42.7826,147.0587,73.0,21,52,1.99,broken clouds
45,Cherskiy,RU,68.75,161.3,-27.33,86,57,0.87,broken clouds
46,Port Elizabeth,ZA,-33.918,25.5701,75.2,83,90,6.91,overcast clouds
47,Kapaa,US,22.0752,-159.319,69.8,83,20,4.61,few clouds
48,Coquimbo,CL,-29.9533,-71.3436,59.0,82,90,5.75,overcast clouds
49,Bulgan,MN,48.8125,103.5347,0.48,85,73,2.04,broken clouds
50,Port Blair,IN,11.6667,92.75,84.2,79,90,9.22,drizzle
51,Lavrentiya,RU,65.5833,-171.0,-12.84,83,0,3.89,clear sky
52,Cape Town,ZA,-33.9258,18.4232,77.0,68,0,6.91,clear sky
53,Bam,IR,29.106,58.357,54.36,24,0,6.35,clear sky
54,Vila Velha,BR,-20.3297,-40.2925,77.0,88,0,5.75,clear sky
55,Saint George,US,37.1041,-113.5841,30.2,47,1,3.44,clear sky
56,Prince Rupert,CA,54.3161,-130.3201,42.8,81,40,10.36,scattered clouds
57,Malyye Derbety,RU,47.9547,44.6808,39.81,92,100,15.48,light rain
58,Kaitangata,NZ,-46.2817,169.8464,57.0,69,93,8.01,overcast clouds
59,Hasaki,JP,35.7333,140.8333,45.0,17,20,5.75,few clouds
60,Rongcheng,CN,30.634,117.8517,38.19,57,58,4.05,broken clouds
61,Puerto Ayora,EC,-0.7393,-90.3518,72.0,95,89,1.01,overcast clouds
62,Nanortalik,GL,60.1432,-45.2371,31.53,94,100,9.78,light snow
63,Lagoa,PT,39.05,-27.9833,55.11,62,47,4.12,scattered clouds
64,Manyana,BW,-23.4,21.7167,78.49,56,79,8.28,broken clouds
65,Fortuna,US,40.5982,-124.1573,44.01,100,90,5.75,overcast clouds
66,Saskylakh,RU,71.9167,114.0833,-19.14,86,100,10.18,overcast clouds
67,Ovre Ardal,NO,61.3167,7.8,15.8,86,75,6.91,broken clouds
68,Mar Del Plata,AR,-38.0023,-57.5575,57.99,93,100,8.08,overcast clouds
69,Atambua,ID,-9.1061,124.8925,79.11,83,100,0.98,light rain
70,Mogocha,RU,53.7333,119.7667,-8.39,86,0,2.24,clear sky
71,Haradok,BY,55.4624,29.9816,24.8,93,90,6.71,light snow
72,Yellowknife,CA,62.456,-114.3525,1.4,85,1,6.91,clear sky
73,Uruzgan,AF,32.8333,66.0,38.53,40,0,5.44,clear sky
74,Nkhata Bay,MW,-11.6066,34.2907,78.8,76,100,8.59,moderate rain
75,Tuktoyaktuk,CA,69.4541,-133.0374,6.8,92,40,8.05,scattered clouds
76,Hualmay,PE,-11.0964,-77.6139,69.46,88,95,5.61,overcast clouds
77,Mweka,CD,-4.85,21.5667,71.8,81,100,1.19,overcast clouds
78,Nigde,TR,37.8333,34.75,43.97,61,69,5.84,broken clouds
79,Innisfail,AU,-17.5333,146.0333,78.26,91,100,3.47,light rain
80,Malmesbury,ZA,-33.4608,18.7271,77.0,68,0,6.91,clear sky
81,La Palma,US,33.8464,-118.0467,51.8,100,75,1.41,fog
82,Jalu,LY,29.0331,21.5482,69.08,32,0,5.53,clear sky
83,Mataura,NZ,-46.1927,168.8643,55.99,78,100,10.0,overcast clouds
84,Rusape,ZW,-18.5278,32.1284,76.78,67,100,2.86,moderate rain
85,Kruisfontein,ZA,-34.0033,24.7314,80.01,71,8,4.0,clear sky
86,Sitka,US,57.0531,-135.33,39.2,87,75,12.66,light rain
87,Airai,TL,-8.9266,125.4092,68.18,100,100,1.28,heavy intensity rain
88,Longyearbyen,SJ,78.2186,15.6401,21.2,68,75,4.61,broken clouds
89,Bethel,US,41.3712,-73.414,23.0,63,1,8.05,clear sky
90,Korla,CN,41.7597,86.1469,21.78,84,31,6.6,scattered clouds
91,Tuatapere,NZ,-46.1333,167.6833,55.99,78,100,10.0,light rain
92,Paamiut,GL,61.994,-49.6678,32.41,85,97,4.05,overcast clouds
93,Ierapetra,GR,35.01,25.7353,63.0,88,58,11.21,broken clouds
94,Omboue,GA,-1.5746,9.2618,79.21,86,72,4.23,broken clouds
95,Lebu,CL,-37.6167,-73.65,51.78,84,37,8.57,scattered clouds
96,Kavaratti,IN,10.5669,72.642,82.89,73,100,7.72,overcast clouds
97,Kahului,US,20.8947,-156.47,73.4,73,75,5.75,broken clouds
98,Lorengau,PG,-2.0226,147.2712,84.04,65,100,4.76,overcast clouds
99,Byron Bay,AU,-28.65,153.6167,75.2,60,75,12.66,broken clouds
100,Port Alfred,ZA,-33.5906,26.891,77.0,85,8,9.1,clear sky
101,Santa Rosa,PH,14.3122,121.1114,82.99,65,75,8.05,broken clouds
102,Ankara,TR,39.9199,32.8543,48.0,93,75,1.14,broken clouds
103,Alofi,NU,-19.0595,-169.9187,78.8,89,1,9.22,clear sky
104,Khatanga,RU,71.9667,102.5,-19.89,88,85,5.91,overcast clouds
105,Ambulu,ID,-8.345,113.6058,81.23,82,100,4.61,overcast clouds
106,Sampit,ID,-2.5333,112.95,82.81,86,100,4.32,moderate rain
107,Bengkulu,ID,-3.8004,102.2655,83.34,66,99,10.07,moderate rain
108,Broken Hill,AU,-31.95,141.4333,91.4,14,0,19.57,clear sky
109,Labuhan,ID,-6.8844,112.2051,85.41,72,100,3.29,moderate rain
110,Watertown,US,42.3709,-71.1828,27.0,54,1,8.05,clear sky
111,Birjand,IR,32.8663,59.2211,48.2,6,0,2.3,clear sky
112,Dhuwaran,IN,22.2333,72.8,78.8,69,20,2.3,haze
113,Mnogovershinnyy,RU,53.9353,139.9242,-21.01,89,99,3.96,overcast clouds
114,Carnarvon,AU,-24.8667,113.6333,93.2,55,77,20.71,broken clouds
115,Cabo San Lucas,MX,22.8909,-109.9124,57.0,76,0,5.59,clear sky
116,Bella Vista,US,36.4295,-94.2316,28.99,86,1,3.22,clear sky
117,Mount Isa,AU,-20.7333,139.5,96.8,21,40,11.5,scattered clouds
118,Bonfim,BR,3.0833,-59.95,74.88,87,95,8.25,overcast clouds
119,Anshun,CN,26.25,105.9333,35.74,76,92,6.31,overcast clouds
120,Waingapu,ID,-9.6567,120.2641,85.05,69,100,4.92,light rain
121,Valparaiso,CL,-33.0393,-71.6273,57.2,88,90,4.61,overcast clouds
122,Kampot,KH,10.6167,104.1833,86.0,48,0,11.5,clear sky
123,Anamur,TR,36.0751,32.8369,53.6,76,40,5.75,scattered clouds
124,Thompson,CA,55.7435,-97.8558,1.4,85,1,2.3,mist
125,Avera,US,33.194,-82.5271,39.2,100,75,5.75,broken clouds
126,Klaksvik,FO,62.2266,-6.589,37.4,87,40,25.32,light snow
127,Ust-Tsilma,RU,65.441,52.1498,-9.89,89,20,2.59,few clouds
128,Limulunga,ZM,-15.0969,23.1376,75.04,78,100,7.09,overcast clouds
129,Gilgit,PK,35.9221,74.3087,37.06,53,0,3.58,clear sky
130,Nome,US,64.5011,-165.4064,1.4,71,90,4.27,overcast clouds
131,Porto Walter,BR,-8.2686,-72.7439,68.63,96,80,1.59,broken clouds
132,Providencia,MX,28.7167,-111.5833,55.99,43,0,1.01,clear sky
133,East London,ZA,-33.0153,27.9116,82.4,65,0,12.66,clear sky
134,Camacha,PT,33.0833,-16.3333,53.6,66,40,23.02,light rain
135,Blagoveshchensk,RU,50.2667,127.5333,-2.2,60,0,2.24,clear sky
136,Tazovskiy,RU,67.4667,78.7,-6.83,92,95,3.74,overcast clouds
137,Isangel,VU,-19.55,169.2667,78.8,100,90,7.23,heavy intensity rain
138,Norman Wells,CA,65.282,-126.8329,10.4,79,40,4.61,scattered clouds
139,Ilhabela,BR,-23.7781,-45.3581,75.61,86,68,1.43,broken clouds
140,Hilo,US,19.7297,-155.09,73.4,78,90,3.4,overcast clouds
141,Saldanha,ZA,-33.0117,17.9442,71.6,73,27,11.5,scattered clouds
142,Mama,RU,58.3106,112.8986,-5.64,84,100,4.74,light snow
143,La Asuncion,VE,11.0333,-63.8628,75.94,87,54,12.03,broken clouds
144,Solnechnyy,RU,50.7214,136.6319,-16.56,85,93,2.73,overcast clouds
145,Atasu,KZ,48.6814,71.6433,-4.31,85,86,4.43,overcast clouds
146,Pochutla,MX,15.7432,-96.4661,71.01,85,47,1.99,scattered clouds
147,Auki,SB,-8.7676,160.7034,80.94,76,81,3.53,broken clouds
148,Atchison,US,39.563,-95.1216,30.0,91,14,3.91,few clouds
149,Clyde River,CA,70.4692,-68.5914,-4.0,77,90,3.44,overcast clouds
150,Monte Alegre,BR,-2.0078,-54.0692,73.44,94,100,3.09,overcast clouds
151,Tambacounda,SN,13.7539,-13.7586,75.2,41,0,2.82,clear sky
152,Makakilo City,US,21.3469,-158.0858,71.6,83,1,5.75,clear sky
153,Port Hedland,AU,-20.3167,118.5667,102.2,29,40,14.97,scattered clouds
154,Ostersund,SE,63.1792,14.6357,6.8,85,34,3.29,scattered clouds
155,Hofn,IS,64.2539,-15.2082,22.12,82,0,21.21,clear sky
156,College,US,64.8569,-147.8028,9.0,77,20,2.64,few clouds
157,Qaanaaq,GL,77.484,-69.3632,1.81,84,100,7.0,overcast clouds
158,Lodingen,NO,68.414,15.9951,24.01,54,32,11.5,scattered clouds
159,Saint-Philippe,RE,-21.3585,55.7679,86.0,62,0,23.02,clear sky
160,Severo-Kurilsk,RU,50.6789,156.125,23.18,87,93,12.46,overcast clouds
161,Motygino,RU,58.1831,94.7592,-9.58,89,100,3.56,overcast clouds
162,Faya,SA,18.3851,42.4509,57.2,47,20,5.75,few clouds
163,Tasiilaq,GL,65.6145,-37.6368,15.8,45,8,4.61,clear sky
164,Sayyan,YE,15.1718,44.3244,55.27,39,0,1.41,clear sky
165,Sungairaya,ID,0.7,108.9,83.5,77,90,6.29,light rain
166,Pedernales,DO,18.0384,-71.744,75.6,60,100,2.44,overcast clouds
167,Ahipara,NZ,-35.1667,173.1667,65.71,87,0,5.55,clear sky
168,Bow Island,CA,49.8668,-111.3684,30.99,86,0,11.5,clear sky
169,Macklin,CA,52.3334,-109.9348,19.4,93,0,16.11,clear sky
170,Changping,CN,40.2186,116.2197,33.8,19,0,17.9,clear sky
171,Chokurdakh,RU,70.6333,147.9167,-20.0,88,98,3.49,overcast clouds
172,Khatassy,RU,61.9036,129.6383,-41.8,60,90,0.51,fog
173,Tamiahua,MX,21.2667,-97.45,67.44,67,100,3.56,overcast clouds
174,Sambava,MG,-14.2667,50.1667,84.69,62,11,8.61,few clouds
175,Pisco,PE,-13.7,-76.2167,68.0,83,0,6.91,clear sky
176,Kigoma,TZ,-4.8769,29.6267,66.2,100,90,6.93,moderate rain
177,Niksar,TR,40.5917,36.9517,56.23,41,88,9.06,overcast clouds
178,Geraldton,AU,-28.7667,114.6,87.8,33,77,18.41,broken clouds
179,Constitucion,CL,-35.3333,-72.4167,50.95,86,93,9.17,overcast clouds
180,Natal,BR,-5.795,-35.2094,78.8,83,20,6.91,few clouds
181,Leningradskiy,RU,69.3833,178.4167,-20.81,80,0,2.89,clear sky
182,Ponta Do Sol,PT,32.6667,-17.1,50.0,75,52,3.0,light rain
183,Antofagasta,CL,-23.65,-70.4,64.4,88,20,2.3,few clouds
184,Shenjiamen,CN,29.9576,122.298,36.73,70,4,21.23,clear sky
185,Sola,VU,-13.8833,167.55,84.2,79,90,10.36,moderate rain
186,Sabla,NG,12.7525,4.7077,78.91,18,41,15.17,scattered clouds
187,Ouadda,CF,8.0777,22.4007,82.69,19,59,6.17,broken clouds
188,Kavieng,PG,-2.5744,150.7967,83.5,74,100,12.17,overcast clouds
189,Freeport,US,40.6576,-73.5832,30.2,55,1,12.66,clear sky
190,Flin Flon,CA,54.7682,-101.865,12.9,95,0,4.25,clear sky
191,Katsuura,JP,35.1333,140.3,45.0,21,0,8.01,clear sky
192,Horsham,GB,51.064,-0.3272,33.8,93,75,8.05,broken clouds
193,Vilyuysk,RU,63.7553,121.6247,-25.11,86,100,4.09,overcast clouds
194,Chingirlau,KZ,51.095,54.0814,24.46,98,100,14.27,snow
195,Dikson,RU,73.5069,80.5464,-13.9,88,0,8.41,clear sky
196,Benito Juarez,MX,19.385,-99.165,57.2,58,75,5.75,broken clouds
197,Homer,US,59.6425,-151.5483,37.4,81,90,9.22,light rain
198,Cayenne,GF,4.9333,-52.3333,71.6,100,0,2.3,clear sky
199,Batagay-Alyta,RU,67.8006,130.4114,-17.36,85,100,4.34,overcast clouds
200,Saint-Pierre,RE,-21.3393,55.4781,86.0,62,0,23.02,clear sky
201,Polunochnoye,RU,60.8697,60.4153,-6.45,92,90,1.43,overcast clouds
202,Mitsamiouli,KM,-11.3847,43.2844,83.19,76,1,12.24,light rain
203,Half Moon Bay,US,37.4636,-122.4286,48.2,93,1,5.75,mist
204,Tucuman,AR,-26.8241,-65.2226,71.6,88,20,6.91,few clouds
205,Avarua,CK,-21.2078,-159.775,80.6,74,20,4.61,few clouds
206,Victoria,HK,22.2855,114.1577,54.0,32,21,1.01,few clouds
207,Port Hawkesbury,CA,45.6169,-61.3485,26.01,93,90,12.66,light snow
208,Aitape,PG,-3.1374,142.3475,83.79,73,97,4.12,overcast clouds
209,Chuy,UY,-33.6971,-53.4616,61.34,85,0,3.78,clear sky
210,Biak,ID,-0.9131,122.8766,83.28,72,100,0.76,light rain
211,Resistencia,AR,-27.4606,-58.9839,75.99,83,0,4.61,clear sky
212,Caravelas,BR,-17.7125,-39.2481,76.26,84,13,8.34,few clouds
213,Barra Do Corda,BR,-5.5,-45.25,71.76,97,78,1.95,moderate rain
214,Baghdad,IQ,33.3406,44.4009,53.6,54,0,3.44,clear sky
215,Copala,MX,16.65,-98.9833,73.36,82,77,4.56,broken clouds
216,Victoria Point,AU,-27.5833,153.3,73.99,71,77,7.0,light rain
217,Callaway,US,30.153,-85.5699,42.01,77,33,4.0,scattered clouds
218,Beringovskiy,RU,63.05,179.3167,-20.61,85,4,9.44,clear sky
219,Krasnyy Oktyabr,RU,56.1167,38.8833,19.98,97,99,7.43,overcast clouds
220,Linxia,CN,35.6003,103.2064,23.41,71,100,2.64,overcast clouds
221,Sosnovo-Ozerskoye,RU,52.5249,111.5418,-0.27,91,14,8.88,few clouds
222,Guanare,VE,9.0418,-69.7421,71.15,95,100,3.78,overcast clouds
223,Narsaq,GL,60.9167,-46.05,41.0,42,90,28.77,light snow
224,Pangnirtung,CA,66.1451,-65.7125,6.58,75,100,0.78,overcast clouds
225,Portland,US,45.5234,-122.6762,39.99,100,20,1.43,fog
226,Berdigestyakh,RU,62.0989,126.6992,-27.4,84,100,3.53,overcast clouds
227,Kodiak,US,57.79,-152.4072,32.0,80,90,10.36,light snow
228,Srandakan,ID,-7.9386,110.2506,83.55,73,100,7.31,overcast clouds
229,Ribeira Grande,PT,38.5167,-28.7,53.6,71,20,6.91,few clouds
230,Zeya,RU,53.75,127.2667,-12.73,86,93,0.74,overcast clouds
231,Roebourne,AU,-20.7833,117.1333,99.81,28,75,11.23,broken clouds
232,Baker City,US,44.7749,-117.8344,30.2,93,90,3.4,mist
233,Vanimo,PG,-2.6741,141.3028,83.12,75,100,4.27,overcast clouds
234,Prieska,ZA,-29.6641,22.7474,90.12,32,0,18.81,clear sky
235,Lima,PE,-12.0432,-77.0282,68.0,88,90,10.36,overcast clouds
236,Saint-Augustin,CA,51.226,-58.6502,36.82,80,100,15.55,overcast clouds
237,Westport,US,41.1415,-73.3579,26.6,63,1,6.91,clear sky
238,Plettenberg Bay,ZA,-34.0527,23.3716,76.87,66,0,6.98,clear sky
239,Kostyantynivka,UA,48.5277,37.7069,35.33,94,100,10.49,snow
240,Vesyegonsk,RU,58.664,37.2604,-0.78,93,75,5.59,broken clouds
241,Teguise,ES,29.0605,-13.564,55.4,82,75,6.91,light rain
242,Waddan,LY,29.1614,16.139,72.61,21,0,5.28,clear sky
243,Berlevag,NO,70.8578,29.0864,18.57,92,26,18.99,scattered clouds
244,Rangkasbitung,ID,-6.3591,106.2494,84.0,94,90,6.91,light rain
245,Masumbwe,TZ,-3.6333,32.1833,68.43,85,100,9.31,overcast clouds
246,Cidreira,BR,-30.1811,-50.2056,72.41,61,0,10.38,clear sky
247,Mangrol,IN,21.1167,70.1167,80.44,45,0,10.11,clear sky
248,Grand Forks,US,47.9417,-97.4337,28.4,100,90,2.35,light snow
249,Port Hardy,CA,50.6996,-127.4199,44.6,93,20,6.91,few clouds
250,Mwense,ZM,-10.3845,28.698,72.01,82,100,4.83,overcast clouds
251,Zyryanka,RU,65.75,150.85,-27.36,86,99,2.28,overcast clouds
252,Turbat,PK,26.0023,63.044,68.77,16,0,21.72,clear sky
253,Emporia,US,38.4039,-96.1817,24.8,86,1,4.61,clear sky
254,Tomar Do Geru,BR,-11.3733,-37.8406,69.78,98,100,4.25,overcast clouds
255,Tahe,CN,52.3333,124.7333,-3.91,85,0,7.14,clear sky
256,Tombouctou,ML,20.0,-3.0,73.8,18,0,5.55,clear sky
257,Tyrma,RU,50.0833,132.1667,-18.69,83,58,2.66,broken clouds
258,Dingle,PH,10.9995,122.6711,77.59,90,96,17.27,moderate rain
259,Itarema,BR,-2.9248,-39.9167,78.55,79,59,12.44,broken clouds
260,Zhigansk,RU,66.7697,123.3711,-31.7,84,100,3.85,overcast clouds
261,Keokuk,US,40.3973,-91.3849,26.6,100,90,3.44,overcast clouds
262,Savigliano,IT,44.644,7.6559,28.99,86,90,4.61,overcast clouds
263,Mishelevka,RU,52.8575,103.1719,0.68,90,86,2.75,overcast clouds
264,Dwarka,IN,22.2394,68.9678,74.23,38,0,17.63,clear sky
265,Faanui,PF,-16.4833,-151.75,81.63,69,35,8.25,scattered clouds
266,Luanda,AO,-8.8368,13.2343,78.8,73,75,4.61,broken clouds
267,Hamilton,US,39.1834,-84.5333,30.99,69,90,10.36,overcast clouds
268,Touros,BR,-5.1989,-35.4608,77.0,83,20,6.91,few clouds
269,Ballina,AU,-28.8667,153.5667,75.2,60,75,12.66,broken clouds
270,Palmas,BR,-10.2128,-48.3603,73.4,100,75,4.61,light rain
271,Sao Gabriel Da Cachoeira,BR,-0.1303,-67.0892,69.93,99,100,2.15,heavy intensity rain
272,Qui Nhon,VN,13.7667,109.2333,69.82,86,100,17.22,light rain
273,Waren,DE,53.5167,12.6833,30.99,99,97,4.43,overcast clouds
274,Fallon,US,39.4735,-118.7774,28.4,64,20,3.44,few clouds
275,Barrow,US,71.2906,-156.7887,-4.0,77,90,3.44,overcast clouds
276,Kachug,RU,53.9606,105.8817,-5.91,87,26,1.88,scattered clouds
277,Bireun,ID,5.203,96.7009,81.93,74,100,6.31,moderate rain
278,Asyut,EG,27.181,31.1837,51.8,87,90,6.91,fog
279,Bathsheba,BB,13.2167,-59.5167,78.8,83,40,19.57,scattered clouds
280,Acapulco,MX,16.8634,-99.8901,73.94,75,60,5.12,broken clouds
281,Adeje,ES,28.1227,-16.726,55.4,76,20,6.91,few clouds
282,Torbay,CA,47.6666,-52.7314,36.0,93,90,23.02,overcast clouds
283,Pokhara,NP,28.2333,83.9833,76.57,24,100,6.71,overcast clouds
284,Arraial Do Cabo,BR,-22.9661,-42.0278,75.79,90,68,2.37,broken clouds
285,Chabahar,IR,25.2919,60.643,66.02,24,0,4.41,clear sky
286,Boddam,GB,57.4667,-1.7833,19.4,93,62,2.3,broken clouds
287,Lashio,MM,22.9333,97.75,79.61,42,7,4.76,clear sky
288,Puerto Escondido,MX,15.85,-97.0667,74.12,75,0,4.88,clear sky
289,Frederikshavn,DK,57.4407,10.5366,34.0,93,90,3.44,overcast clouds
290,Liusha,CN,27.2098,108.59,38.84,61,85,5.39,overcast clouds
291,Whitehorse,CA,60.7161,-135.0538,26.6,86,90,21.85,light snow
292,Bay Roberts,CA,47.5999,-53.2648,36.0,1,100,17.72,overcast clouds
293,Tezu,IN,27.9167,96.1667,79.88,25,4,3.2,clear sky
294,San Policarpo,PH,12.1791,125.5072,80.38,86,13,13.13,few clouds
295,Surt,LY,31.2089,16.5887,70.23,42,0,13.73,clear sky
296,Anadyr,RU,64.75,177.4833,-29.0,68,40,11.18,scattered clouds
297,Vao,NC,-22.6667,167.4833,77.95,88,100,19.15,overcast clouds
298,Beni,CD,0.5,29.4667,80.47,50,68,1.77,broken clouds
299,Uribia,CO,11.7139,-72.266,77.45,81,98,10.38,overcast clouds
300,Sao Joao Da Barra,BR,-21.6403,-41.0511,75.27,92,3,7.18,clear sky
301,Pevek,RU,69.7008,170.3133,-21.46,88,42,3.74,scattered clouds
302,Wilmington,US,34.2257,-77.9447,39.2,87,90,11.5,overcast clouds
303,Vallenar,CL,-28.5708,-70.7581,58.19,79,0,1.16,clear sky
304,Boali,CF,4.8005,18.1275,78.8,89,40,5.75,scattered clouds
305,Saint-Georges,GD,12.0564,-61.7485,78.8,83,20,8.05,few clouds
306,Iqaluit,CA,63.7506,-68.5145,5.0,72,90,8.05,light snow
307,Vardo,NO,70.3705,31.1107,21.97,95,86,15.32,overcast clouds
308,Guerrero Negro,MX,27.9769,-114.0611,57.79,82,0,9.75,clear sky
309,Esperance,AU,-33.8667,121.9,95.0,24,87,17.27,overcast clouds
310,Tucumcari,US,35.1717,-103.725,21.2,68,1,3.44,clear sky
311,Vila,PT,42.0304,-8.1588,26.01,83,21,7.45,few clouds
312,Claremore,US,36.3126,-95.6161,28.99,86,1,1.03,clear sky
313,Gat,IL,31.61,34.7642,70.0,47,0,3.0,clear sky
314,Port Lincoln,AU,-34.7333,135.8667,75.69,53,0,12.28,clear sky
315,Irbeyskoye,RU,55.6428,95.4522,1.47,90,100,2.3,overcast clouds
316,Koumac,NC,-20.5667,164.2833,84.24,76,100,2.68,moderate rain
317,Dalbandin,PK,28.8947,64.4101,47.52,40,0,9.86,clear sky
318,Port Augusta,AU,-32.5,137.7667,97.0,24,0,14.97,clear sky
319,Xining,CN,36.6167,101.7667,22.87,69,85,3.76,overcast clouds
320,Jamame,SO,0.0722,42.7506,88.83,44,0,15.32,clear sky
321,Kingsteignton,GB,50.55,-3.5833,34.0,92,96,3.0,overcast clouds
322,Yarensk,RU,62.1675,49.0916,5.4,94,86,5.5,overcast clouds
323,Limbang,MY,4.75,115.0,86.0,74,75,11.5,broken clouds
324,Morris,US,40.8334,-74.5329,28.0,54,1,5.75,clear sky
325,Mae Hong Son,TH,19.3003,97.9685,86.0,51,20,3.44,few clouds
326,Yinchuan,CN,38.4681,106.2731,18.95,50,100,3.4,overcast clouds
327,Haicheng,CN,40.8516,122.7475,13.42,71,0,3.83,clear sky
328,Stykkisholmur,IS,65.0757,-22.7297,22.21,87,81,15.75,broken clouds
